Russian,English
и,and
в,v
не,not
он,he
на,on
я,I am
что,what
тот,that
быть,to be
с,with
а,a
весь,all
это,this is
как,how
она,she
по,on
но,but
они,they
к,To
у,W.
ты,you
из,from
мы,we
за,per
вы,you
так,So
же,Same
от,from
сказать,to tell
этот,this
который,which the
мочь,be able to
человек,human
о,O
один,one
еще,yet
бы,would
такой,such
только,only
себя,myself
свое,Note
какой,which
когда,when
уже,already
для,for
вот,here
кто,who
да,Yes
говорить,talk
год,year
знать,know
мой,my
до,before
или,or
если,if
время,time
рука,hand
нет,No
самый,most
ни,n.
стать,become
большой,big
даже,even
другой,another
наш,our
свой,mine
ну,Well
под,under
где,where
дело,a business
есть,there is
сам,myself
раз,once
чтобы,to
два,two
там,there
чем,how
глаз,eye
жизнь,life
первый,first
день,day
тут,here
во,in
ничто,nothing
потом,after
очень,very
со,SO
хотеть,to want
ли,Li
при,at
голова,head
надо,necessary
без,without
видеть,see
идти,go
теперь,now
тоже,too
стоять,stand
друг,friend
дом,House
сейчас,now
можно,can
после,after
слово,word
здесь,here
думать,think
место,a place
спросить,ask
через,across
лицо,face
что,what
тогда,then
ведь,after all
хороший,good
каждый,each
новый,new
жить,live
должный,due
смотреть,watch
почему,why
потому,because
сторона,side
просто,simply
нога,leg
сидеть,sit
понять,understand
иметь,have
конечный,finite
делать,make
вдруг,all of a sudden
над,above
взять,take
никто,no one
сделать,do
дверь,a door
перед,front
нужный,necessary
понимать,understand
казаться,seem
работа,Work
три,three
ваш,your
уж,О.
земля,Earth
конец,the end
несколько,several
час,hour
голос,voice
город,town
последний,last
пока,while
хорошо,OK
давать,giving
вода,water
более,more
хотя,although
всегда,always
второй,second
куда,where
пойти,Go
стол,table
ребенок,child
увидеть,see
сила,force
отец,father
женщина,female
машина,a car
случай,happening
ночь,night
сразу,straightaway
мир,peace
совсем,at all
остаться,stay
об,about
вид,view
выйти,log off
дать,to give
работать,work
любить,be in love
старый,old
почти,almost
ряд,row
оказаться,be
начало,Start
твой,is yours
вопрос,question
много,many
война,war
снова,again
ответить,to answer
между,between
подумать,think
опять,again
белый,White
деньги,money
значить,to mean
про,pro
лишь,only
минута,minute
жена,wife
посмотреть,look
правда,truth
главный,main
страна,country
свет,light
ждать,wait
мать,mother
будто,as if
никогда,never
товарищ,comrade
дорога,road
однако,but
лежать,lie
именно,exactly
окно,window
никакой,no
найти,find
писать,write
комната,room
Москва,Moscow
часть,part
вообще,generally
книга,book
маленький,small
улица,Street
решить,decide
далёкий,far
душа,soul
чуть,slightly
вернуться,return
утро,morning
некоторый,some
считать,think
сколько,how
помнить,remember
вечер,evening
пол,floor
таки,Taki
получить,receive
народ,people
плечо,shoulder
хоть,though
сегодня,today
бог,the God
вместе,together
взгляд,sight
ходить,walk
зачем,why
советский,Soviet
русский,Russian
бывать,be
полный,full
прийти,come
палец,finger
Россия,Russia
любой,any
история,history
наконец,finally
мысль,thought
узнать,to know
назад,back
общий,general
заметить,notice
словно,Like
прошлый,last
уйти,go
известный,known
давно,for a long time
слышать,hear
слушать,listen
бояться,afraid
сын,a son
нельзя,it is forbidden
прямо,directly
долго,for a long time
быстрый,quick
лес,Forest
похожий,similar
пора,It's time
пять,five
глядеть,look
оно,it
сесть,Seek
имя,name
ж,J.
разговор,talk
тело,body
молодой,young
стена,wall
красный,Red
читать,read
право,right
старик,old man
ранний,early
хотеться,want
мама,Mother
оставаться,stay
высокий,high
путь,way
поэтому,therefore
совершенно,Top
кроме,except
тысяча,thousand
месяц,month
брать,take
написать,Write
целый,whole
огромный,huge
начинать,start off
спина,back
настоящий,real
пусть,let be
язык,language
точно,for sure
среди,among
чувствовать,feel
сердце,heart
вести,news
иногда,sometimes
мальчик,boy
успеть,be on time
небо,sky
живой,alive
смерть,death
продолжать,continue
девушка,young woman
образ,image
ко,NS
забыть,forget
вокруг,around
письмо,letter
власть,power
черный,black
пройти,pass the
появиться,to appear
воздух,air
разный,different
выходить,go out
просить,ask
брат,brother
собственный,own
отношение,Attitude
затем,then
пытаться,try
показать,show
вспомнить,recall
система,system
четыре,four
квартира,apartment
держать,Keep
также,also
любовь,love
солдат,soldier
откуда,where
чтоб,To
называть,call
третий,third
хозяин,master
вроде,like
уходить,leave
подойти,come true
поднять,raise
особенно,especially
спрашивать,ask
начальник,Chief
оба,both
бросить,throw
школа,school
парень,guy
кровь,blood
двадцать,twenty
солнце,Sun
неделя,a week
послать,send
находиться,be
ребята,guys
поставить,put
встать,stand up
например,for example
шаг,step
мужчина,Man
равно,equals
нос,nose
мало,few
внимание,Attention
капитан,captain
ухо,ear
туда,there
сюда,here
играть,play
следовать,to follow
рассказать,tell
великий,great
действительно,really
слишком,too much
тяжёлый,heavy
спать,sleep
оставить,leave
войти,to come in
длинный,long
чувство,feeling
молчать,silence
рассказывать,tell
отвечать,reply
становиться,become
остановиться,stay
берег,Coast
семья,a family
искать,search
генерал,General
момент,moment
десять,ten
начать,begin
следующий,next
личный,private
труд,work
верить,believe
группа,group
немного,Little
впрочем,however
видно,it is seen
являться,be
муж,husband
разве,not
движение,traffic
порядок,order
ответ,answer
тихо,quiet
знакомый,familiar
газета,newspaper
помощь,help
сильный,strong
скорый,Eightly
собака,dog
дерево,wood
снег,snow
сон,dream
смысл,meaning
смочь,Mock
против,against
бежать,run
двор,courtyard
форма,the form
простой,simple
приехать,come
иной,other
кричать,shout
возможность,possibility
общество,society
зелёный,green
грудь,breast
угол,injection
открыть,open
происходить,take place
ладно,OK
черный,black
век,century
карман,pocket
ехать,drive
немец,German
наверное,maybe
губа,lip
дядя,uncle
приходить,to come
часто,often
домой,home
огонь,Fire
писатель,Writer
армия,army
состояние,condition
зуб,tooth
очередь,queue
кой,Koya
подняться,rise
камень,stone
гость,the guest
показаться,appear
ветер,wind
собираться,going to
попасть,get
принять,accept
сначала,at first
либо,or
поехать,go
услышать,hear
уметь,be able to
случиться,happen
странный,strange
единственный,the only one
рота,company
закон,law
короткий,short
море,sea
добрый,kind
темный,dark
гора,mountain
врач,doctor
край,edge
стараться,try
лучший,best
река,river
военный,military
мера,measure
страшный,scary
вполне,Full
звать,call for
произойти,occur
вперед,forward
медленный,slow
возле,near
никак,no way
заниматься,study
действие,action
довольно,enough
вещь,thing
необходимый,necessary
ход,Turn
боль,pain
судьба,fate
причина,cause
положить,put
едва,barely
черта,damn
девочка,girl
лёгкий,light
волос,hair
купить,buy
номер,room
основной,basic
широкий,wide
умереть,die
плохо,poorly
глава,chapter
красивый,beautiful
серый,Gray
пить,drink
командир,commander
обычно,usually
партия,the consignment
проблема,problem
страх,fear
проходить,pass
ясно,clear
снять,take off
бумага,paper
герой,hero
пара,pair
государство,state
деревня,village
речь,speech
начаться,begin
средство,means
положение,position
связь,connection
скоро,soon
небольшой,small
представлять,represent
завтра,tomorrow
объяснить,explain
пустой,empty
произнести,Pronounce
человеческий,human
нравиться,like
однажды,once
мимо,by
иначе,otherwise
существовать,exist
класс,Class
удаться,succeed
толстый,thick
цель,goal
сквозь,through
прийтись,come
чистый,clean
знать,know
прежний,former
профессор,Professor
господин,Mr.
счастье,happiness
худой,thin
дух,spirit
план,plan
чужой,stranger
зал,Hall
представить,imagine
особый,special
директор,director
бывший,former
память,memory
близкий,close
сей,this
результат,result
больной,sick
данный,the
кстати,by the way
назвать,call
след,track
улыбаться,smile
бутылка,bottle
трудно,hard
условие,condition
прежде,Before
ум,mind
улыбнуться,smile
процесс,process
картина,painting
вместо,instead of
старший,older
центр,Centre
подобный,like
возможный,possible
около,about
смеяться,laugh
сто,hundred
будущее,future
хватать,grab
число,number
всякое,All
рубль,ruble
почувствовать,feel
принести,bring
вера,faith
вовсе,at all
удар,hit
телефон,telephone
колено,knee
согласиться,agree
коридор,the corridor
мужик,Men
правый,right
автор,author
холодный,cold
хватить,be enough
многие,many
встреча,a meeting
кабинет,cabinet
документ,document
самолет,airplane
вниз,way down
принимать,accept
игра,the game
рассказ,story
хлеб,bread
развитие,development
убить,Kill
родной,native
открытый,open
менее,less
предложить,offer
желтый,yellow
приходиться,come
выпить,drink
крикнуть,shout
трубка,a tube
враг,enemy
показывать,show
двое,two
доктор,doctor
ладонь,Palm
вызвать,call
спокойно,calmly
попросить,ask for
наука,the science
лейтенант,lieutenant
служба,service
оказываться,turn out
привести,lead
сорок,Fourty
счет,check
возвращаться,come back
золотой,gold
местный,local
кухня,kitchen
крупный,large
решение,solution
молодая,Young
тридцать,thirty
роман,novel
требовать,demand
компания,company
частый,frequent
российский,Russian
рабочий,worker
потерять,lose
течение,flow
синий,blue
столько,so many
теплый,warm
метр,meter
достать,deliver
железный,iron
институт,Institute
сообщить,to report
интерес,interest
обычный,normal
появляться,appear
упасть,fell
остальной,rest
половина,half
московский,Moscow
шесть,six
получиться,come out
качество,quality
бой,the battle
шея,neck
вон,won
идея,idea
видимо,Apparently
достаточный,sufficient
провести,conduct
важный,important
трава,grass
дед,grandfather
сознание,consciousness
родитель,parent
простить,forgive
бить,beat
чай,tea
поздний,late
кивнуть,nod
род,genus
исчезнуть,disappear
тонкий,thin
немецкий,German
звук,sound
отдать,give out
магазин,shop
президент,the president
поэт,poet
спасибо,thanks
болезнь,disease
событие,event
помочь,help
кожа,leather
лист,sheet
слать,send
вспоминать,recall
прекрасный,beautiful
слеза,a tear
надежда,hope
молча,silently
сильно,strongly
верный,loyal
литература,literature
оружие,weapon
готовый,ready
запах,smell
неожиданно,suddenly
вчерашний,yesterday
вздохнуть,sigh
роль,role
рост,height
природа,nature
политический,political
точка,point
звезда,star
петь,sing
садиться,Surface
фамилия,surname
характер,character
пожалуйста,please
выше,above
офицер,an officer
толпа,crowd
перестать,stop
придтись,come
уровень,level
неизвестный,unknown
кресло,armchair
баба,woman
секунда,second
пожаловать,Please
банк,bank
опыт,an experience
тихий,quiet
поскольку,insofar as
сапог,boot
правило,Rule
стекло,glass
получать,receive
внутренний,interior
дочь,daughter
называться,be called
надеяться,hope
член,member
протянуть,stretch
государственный,state
десяток,Tens
глубокий,deep
цветок,flower
ах,Oh
желание,a wish
дождь,rain
впереди,Ahead
подходить,suit
много,many
лоб,forehead
улыбка,smile
борьба,wrestling
ворот,Gate.
ящик,box
этаж,floor
служить,serve
вновь,again
голубой,blue
нечего,nothing
революция,the revolution
впервые,first
сосед,neighbor
сестра,sister
долгий,long
чей,whose
поверить,to believe
ситуация,situation
взглянуть,look at
слабый,weak
количество,number
вызывать,call
уверенный,confident
выход,output
совет,advice
дурак,fool
любимый,favourite
союз,Soyuz
лето,summer
ожидать,expect
пришлый,Came
висеть,hang
граница,the border
цвет,Colour
серьёзный,serious
создать,create
интересный,interesting
свобода,freedom
зато,but
стул,chair
уехать,To leave
поезд,train
музыка,music
тень,shadow
лошадь,horse
поле,field
выглядеть,to look like
учиться,study
левый,left
разговаривать,talk
детский,child
тип,type of
суд,court
связанный,connected
горячий,hot
площадь,square
помогать,to help
счастливый,happy
повернуться,turn out
позволить,allow
встретить,meet
радость,joy
острый,spicy
возраст,age
орган,organ
карта,map
входить,enter
обнаружить,Detect
король,King
слава,glory
полковник,Colonel
мелкий,small
бок,side
цена,price
информация,information
мозг,brain
удовольствие,pleasure
воля,will
область,region
крыша,roof
нести,carry
обратно,back
современный,modern
дама,lady
семь,seven
веселый,happy
прислать,Send
сад,garden
правительство,government
милый,cute
относиться,relate
возникать,arise
мол,MOL
повторить,repeat
название,title
средний,average
пример,example
невозможно,impossible
зеркало,mirror
погибнуть,die
американский,American
дым,smoke
гореть,burn
плакать,cry
весьма,quite
факт,fact
двигаться,move
рыба,a fish
добавить,add
удивиться,Surprise
бабушка,Granny
вино,wine
ибо,for
учитель,teacher
действовать,act
осторожно,carefully
круг,circle
папа,dad
правильно,right
недавно,recently
держаться,hold on
причем,Moreover
лететь,fly
носить,wear
повод,occasion
лагерь,camp
птица,bird
корабль,ship
мнение,opinion
ночной,night
здоровый,healthy
зима,winter
сухой,dry
километр,kilometer
кровать,bed
привыкнуть,get used to
прочее,Other
свободный,free
лестница,ladder
неужели,Really
обязательно,necessarily
вверх,up
детство,childhood
остров,Island
статья,article
позвонить,Call
столь,so
мешать,interfere
водка,vodka
темнота,darkness
возникнуть,arise
способный,capable
станция,station
желать,want
попробовать,Try
получаться,Rather
гражданин,citizen
странно,strange
вскоре,soon
команда,command
заболевание,disease
живот,stomach
ставить,set
ради,RF
тишина,silence
понятно,clear
фронт,front
щека,cheek
страшно,fearfully
район,district
наверно,probably
проводить,conduct
выражение,expression
слегка,slightly
мешок,bag
обещать,promise
дорогой,expensive
судить,judge
большинство,majority
собраться,gather
управление,control
колоть,prick
мокрый,wet
приказ,order
прямой,straight
закричать,scratch
кончиться,end
куст,bush
стрелять,fire
художник,painter
знак,sign
завод,plant
кулак,fist
использовать,use
стакан,Cup
пахнуть,smell
отсюда,From here
рот,mouth
пора,It's time
передать,hand over
лечение,treatment
высший,higher
сутки,day
вставать,get up